SerialNumber,M5003038,
Stop Mode,USB Stop,
Time Zone,UTC+0:00,
Date,Time,Deg C,Deg F,
13/10/2025,17:48:21,18.5,65.3,
13/10/2025,17:58:21,15.6,60.0,
13/10/2025,18:8:21,14.7,58.4,
13/10/2025,18:18:21,14.9,58.8,
13/10/2025,18:28:21,15.5,59.9,
13/10/2025,18:38:21,16.1,60.9,
13/10/2025,18:48:21,16.3,61.3,
13/10/2025,18:58:21,15.7,60.2,
13/10/2025,19:8:21,15.1,59.1,
13/10/2025,19:18:21,14.7,58.4,
13/10/2025,19:28:21,14.3,57.7,
13/10/2025,19:38:21,14.0,57.2,
13/10/2025,19:48:21,13.8,56.8,
13/10/2025,19:58:21,13.7,56.6,
13/10/2025,20:8:21,13.7,56.6,
13/10/2025,20:18:21,13.5,56.3,
13/10/2025,20:28:21,13.3,55.9,
13/10/2025,20:38:21,13.2,55.7,
13/10/2025,20:48:21,13.2,55.7,
13/10/2025,20:58:21,13.1,55.5,
13/10/2025,21:8:21,13.0,55.4,
13/10/2025,21:18:21,12.8,55.0,
13/10/2025,21:28:21,12.7,54.8,
13/10/2025,21:38:21,12.6,54.6,
13/10/2025,21:48:21,12.5,54.5,
13/10/2025,21:58:21,12.4,54.3,
13/10/2025,22:8:21,12.3,54.1,
13/10/2025,22:18:21,12.2,53.9,
13/10/2025,22:28:21,12.0,53.6,
13/10/2025,22:38:21,11.8,53.2,
13/10/2025,22:48:21,11.6,52.8,
13/10/2025,22:58:21,11.5,52.7,
13/10/2025,23:8:21,11.4,52.5,
13/10/2025,23:18:21,11.1,51.9,
13/10/2025,23:28:21,10.9,51.6,
13/10/2025,23:38:21,10.7,51.2,
13/10/2025,23:48:21,10.5,50.9,
13/10/2025,23:58:21,10.2,50.3,
14/10/2025,0:8:21,9.9,49.8,
14/10/2025,0:18:21,9.6,49.2,
14/10/2025,0:28:21,9.3,48.7,
14/10/2025,0:38:21,9.2,48.5,
14/10/2025,0:48:21,9.0,48.2,
14/10/2025,0:58:21,9.0,48.2,
14/10/2025,1:8:21,8.7,47.6,
14/10/2025,1:18:21,8.6,47.4,
14/10/2025,1:28:21,8.6,47.4,
