SerialNumber,M5003038,
Stop Mode,USB Stop,
Time Zone,UTC+0:00,
Date,Time,Deg C,Deg F,
16/9/2025,18:55:27,32.8,91.0,
16/9/2025,19:5:27,30.8,87.4,
16/9/2025,19:15:27,29.3,84.7,
16/9/2025,19:25:27,28.5,83.3,
16/9/2025,19:35:27,28.0,82.4,
16/9/2025,19:45:27,27.8,82.0,
16/9/2025,19:55:27,27.6,81.6,
16/9/2025,20:5:27,27.4,81.3,
16/9/2025,20:15:27,27.3,81.1,
16/9/2025,20:25:27,27.3,81.1,
16/9/2025,20:35:27,27.3,81.1,
16/9/2025,20:45:27,27.1,80.7,
16/9/2025,20:55:27,27.0,80.6,
16/9/2025,21:5:27,27.0,80.6,
16/9/2025,21:15:27,26.8,80.2,
16/9/2025,21:25:27,26.8,80.2,
16/9/2025,21:35:27,26.7,80.0,
16/9/2025,21:45:27,26.6,79.8,
16/9/2025,21:55:27,26.5,79.7,
16/9/2025,22:5:27,26.3,79.3,
16/9/2025,22:15:27,26.1,78.9,
16/9/2025,22:25:27,26.0,78.8,
16/9/2025,22:35:27,25.8,78.4,
16/9/2025,22:45:27,25.7,78.2,
16/9/2025,22:55:27,25.6,78.0,
16/9/2025,23:5:27,25.5,77.9,
16/9/2025,23:15:27,25.3,77.5,
16/9/2025,23:25:27,25.2,77.3,
16/9/2025,23:35:27,25.1,77.1,
16/9/2025,23:45:27,25.0,77.0,
16/9/2025,23:55:27,24.8,76.6,
17/9/2025,0:5:27,24.7,76.4,
17/9/2025,0:15:27,24.5,76.1,
17/9/2025,0:25:27,24.4,75.9,
17/9/2025,0:35:27,24.2,75.5,
17/9/2025,0:45:27,24.0,75.2,
17/9/2025,0:55:27,23.8,74.8,
17/9/2025,1:5:27,23.7,74.6,
17/9/2025,1:15:27,23.6,74.4,
17/9/2025,1:25:27,23.5,74.3,
17/9/2025,1:35:27,23.3,73.9,
17/9/2025,1:45:27,23.3,73.9,
17/9/2025,1:55:27,23.1,73.5,
17/9/2025,2:5:27,23.0,73.4,
17/9/2025,2:15:27,22.9,73.2,
17/9/2025,2:25:27,22.8,73.0,
17/9/2025,2:35:27,22.8,73.0,
17/9/2025,2:45:27,22.7,72.8,
17/9/2025,2:55:27,22.6,72.6,
17/9/2025,3:5:27,22.6,72.6,
17/9/2025,3:15:27,22.5,72.5,
17/9/2025,3:25:27,22.4,72.3,
17/9/2025,3:35:27,22.3,72.1,
17/9/2025,3:45:27,22.1,71.7,
17/9/2025,3:55:27,22.0,71.6,
17/9/2025,4:5:27,21.9,71.4,
17/9/2025,4:15:27,21.8,71.2,
17/9/2025,4:25:27,21.6,70.8,
17/9/2025,4:35:27,21.6,70.8,
17/9/2025,4:45:27,21.6,70.8,
17/9/2025,4:55:27,21.6,70.8,
17/9/2025,5:5:27,21.5,70.7,
17/9/2025,5:15:27,21.3,70.3,
17/9/2025,5:25:27,21.1,69.9,
17/9/2025,5:35:27,21.0,69.8,
17/9/2025,5:45:27,20.8,69.4,
17/9/2025,5:55:27,20.6,69.0,
17/9/2025,6:5:27,20.5,68.9,
17/9/2025,6:15:27,20.4,68.7,
17/9/2025,6:25:27,20.3,68.5,
17/9/2025,6:35:27,20.2,68.3,
17/9/2025,6:45:27,20.1,68.1,
17/9/2025,6:55:27,19.9,67.8,
17/9/2025,7:5:27,19.8,67.6,
17/9/2025,7:15:27,19.8,67.6,
17/9/2025,7:25:27,19.8,67.6,
17/9/2025,7:35:27,19.7,67.4,
17/9/2025,7:45:27,19.7,67.4,
17/9/2025,7:55:27,19.6,67.2,
17/9/2025,8:5:27,19.5,67.1,
17/9/2025,8:15:27,19.3,66.7,
17/9/2025,8:25:27,19.1,66.3,
17/9/2025,8:35:27,19.0,66.2,
17/9/2025,8:45:27,18.9,66.0,
17/9/2025,8:55:27,18.8,65.8,
17/9/2025,9:5:27,18.7,65.6,
17/9/2025,9:15:27,18.6,65.4,
17/9/2025,9:25:27,18.6,65.4,
17/9/2025,9:35:27,18.6,65.4,
17/9/2025,9:45:27,18.6,65.4,
17/9/2025,9:55:27,18.6,65.4,
17/9/2025,10:5:27,18.6,65.4,
17/9/2025,10:15:27,18.5,65.3,
17/9/2025,10:25:27,18.4,65.1,
17/9/2025,10:35:27,18.3,64.9,
17/9/2025,10:45:27,18.3,64.9,
17/9/2025,10:55:27,18.1,64.5,
17/9/2025,11:5:27,18.0,64.4,
17/9/2025,11:15:27,17.9,64.2,
17/9/2025,11:25:27,17.8,64.0,
17/9/2025,11:35:27,17.8,64.0,
17/9/2025,11:45:27,17.8,64.0,
17/9/2025,11:55:27,17.8,64.0,
17/9/2025,12:5:27,17.8,64.0,
17/9/2025,12:15:27,17.8,64.0,
17/9/2025,12:25:27,17.6,63.6,
17/9/2025,12:35:27,17.6,63.6,
17/9/2025,12:45:27,17.6,63.6,
17/9/2025,12:55:27,17.6,63.6,
17/9/2025,13:5:27,17.7,63.8,
17/9/2025,13:15:27,17.8,64.0,
17/9/2025,13:25:27,17.9,64.2,
17/9/2025,13:35:27,18.0,64.4,
17/9/2025,13:45:27,18.2,64.7,
17/9/2025,13:55:27,18.5,65.3,
17/9/2025,14:5:27,18.7,65.6,
17/9/2025,14:15:27,18.9,66.0,
17/9/2025,14:25:27,19.3,66.7,
17/9/2025,14:35:27,20.0,68.0,
