./temp/eastern_grey_tree_frog_v2_mixed\250619_0503_00_10_53~2.png, Predicted: Negative, Confidence: 100.00%
./temp/eastern_grey_tree_frog_v2_mixed\250619_0503_00_11_33~1.png, Predicted: Negative, Confidence: 99.94%
./temp/eastern_grey_tree_frog_v2_mixed\250619_0503_00_11_53~2.png, Predicted: Negative, Confidence: 99.87%
./temp/eastern_grey_tree_frog_v2_mixed\250619_0503_00_12_28~1.png, Predicted: Negative, Confidence: 76.87%
./temp/eastern_grey_tree_frog_v2_mixed\250619_0503_00_13_18~2.png, Predicted: Negative, Confidence: 99.94%
./temp/eastern_grey_tree_frog_v2_mixed\250619_0503_00_13_48~1.png, Predicted: Negative, Confidence: 99.95%
./temp/eastern_grey_tree_frog_v2_mixed\250619_0503_00_14_13~1.png, Predicted: Negative, Confidence: 99.98%
./temp/eastern_grey_tree_frog_v2_mixed\250619_0503_00_14_43~1.png, Predicted: Negative, Confidence: 99.85%
./temp/eastern_grey_tree_frog_v2_mixed\250619_0503_00_15_03~1.png, Predicted: Negative, Confidence: 99.96%
./temp/eastern_grey_tree_frog_v2_mixed\250619_0503_00_15_33~2.png, Predicted: Negative, Confidence: 99.91%
./temp/eastern_grey_tree_frog_v2_mixed\250619_0503_00_15_53~2.png, Predicted: Negative, Confidence: 99.98%
./temp/eastern_grey_tree_frog_v2_mixed\250619_0503_00_16_28~1.png, Predicted: Negative, Confidence: 99.81%
./temp/eastern_grey_tree_frog_v2_mixed\250619_0503_00_17_03~2.png, Predicted: Negative, Confidence: 99.87%
./temp/eastern_grey_tree_frog_v2_mixed\250619_0503_00_17_28~1.png, Predicted: Negative, Confidence: 99.96%
./temp/eastern_grey_tree_frog_v2_mixed\250619_0503_00_18_18~2.png, Predicted: Negative, Confidence: 99.99%
./temp/eastern_grey_tree_frog_v2_mixed\250619_0503_00_18_43~2.png, Predicted: Negative, Confidence: 100.00%
./temp/eastern_grey_tree_frog_v2_mixed\250619_0503_00_19_03~2.png, Predicted: Negative, Confidence: 98.50%
./temp/eastern_grey_tree_frog_v2_mixed\250619_0503_00_19_23~2.png, Predicted: Negative, Confidence: 99.92%
./temp/eastern_grey_tree_frog_v2_mixed\250619_0503_00_19_43~2.png, Predicted: Negative, Confidence: 88.43%
./temp/eastern_grey_tree_frog_v2_mixed\250619_0503_00_20_03~2.png, Predicted: Negative, Confidence: 99.96%
./temp/eastern_grey_tree_frog_v2_mixed\250619_0503_00_20_28~2.png, Predicted: Negative, Confidence: 99.98%
./temp/eastern_grey_tree_frog_v2_mixed\250619_0503_00_20_48~2.png, Predicted: Negative, Confidence: 99.92%
./temp/eastern_grey_tree_frog_v2_mixed\250619_0503_00_22_13~1.png, Predicted: Negative, Confidence: 99.99%
./temp/eastern_grey_tree_frog_v2_mixed\250619_0503_00_22_33~2.png, Predicted: Negative, Confidence: 100.00%
./temp/eastern_grey_tree_frog_v2_mixed\250619_0503_00_22_58~1.png, Predicted: Negative, Confidence: 99.76%
./temp/eastern_grey_tree_frog_v2_mixed\250619_0503_00_24_38~2.png, Predicted: Negative, Confidence: 96.13%
./temp/eastern_grey_tree_frog_v2_mixed\250619_0503_00_25_23~2.png, Predicted: Negative, Confidence: 98.61%
./temp/eastern_grey_tree_frog_v2_mixed\250619_0503_00_26_13~1.png, Predicted: Negative, Confidence: 99.91%
./temp/eastern_grey_tree_frog_v2_mixed\250619_0503_00_29_33~2.png, Predicted: Negative, Confidence: 99.99%
./temp/eastern_grey_tree_frog_v2_mixed\250619_0503_00_36_08~1.png, Predicted: Negative, Confidence: 99.28%
./temp/eastern_grey_tree_frog_v2_mixed\250619_0503_00_37_03~1.png, Predicted: Negative, Confidence: 97.87%
